spectra (nm),
748.45,0.43319727
748.78,0.43607467
749.11,0.43371826
749.44,0.439062189
749.77,0.43847458
750.1,0.437082673
750.43,0.437321101
750.76,0.437743842
751.09,0.437717724
751.42,0.443326402
751.75,0.439848637
752.08,0.44258335
752.41,0.442994293
752.74,0.442213035
753.07,0.443673982
753.4,0.444617139
753.73,0.443043018
754.06,0.443929176
754.39,0.447936384
754.72,0.445927316
755.05,0.445431218
755.38,0.447733711
755.71,0.447318947
756.03,0.449026084
756.36,0.449981238
756.69,0.450460648
757.02,0.450190059
757.35,0.450200276
757.68,0.449249395
758.01,0.451666617
758.34,0.451861786
758.67,0.454861501
758.99,0.453754292
759.32,0.456353504
759.65,0.455066403
759.98,0.459026463
760.31,0.457563548
760.64,0.461081193
760.97,0.456548413
761.29,0.458220119
761.62,0.454350467
761.95,0.459677244
762.28,0.45782887
762.61,0.459313837
762.94,0.459321787
763.26,0.459723566
763.59,0.45872153
763.92,0.459740554
764.25,0.458685179
764.58,0.460323737
764.9,0.458267675
765.23,0.462259442
765.56,0.46374533
765.89,0.462138207
766.22,0.463016041
766.54,0.462628259
766.87,0.463845583
767.2,0.461275481
767.53,0.463907957
767.85,0.463564327
768.18,0.464551848
768.51,0.46513023
768.84,0.462569481
769.16,0.466481032
769.49,0.46937029
769.82,0.468531422
770.15,0.464964717
770.47,0.468693143
770.8,0.467609095
771.13,0.465987509
771.45,0.470417648
771.78,0.470535954
772.11,0.469372067
772.43,0.471341864
772.76,0.470380761
773.09,0.469747118
773.41,0.469082189
773.74,0.472668597
774.07,0.470046907
774.39,0.471551088
774.72,0.473063374
775.05,0.472278503
775.37,0.472845431
775.7,0.475467205
776.03,0.473451792
776.35,0.475085661
776.68,0.473842479
777.01,0.47663192
777.33,0.478158018
777.66,0.475264085
777.98,0.473643403
778.31,0.475078516
778.64,0.477797046
778.96,0.477893202
779.29,0.476607392
779.61,0.477785764
779.94,0.478051679
780.27,0.48035198
780.59,0.477244631
780.92,0.477942835
781.24,0.477894895
781.57,0.480253127
781.89,0.480312874
782.22,0.480945201
782.54,0.482052299
782.87,0.482571503
783.19,0.483154661
783.52,0.482737733
783.85,0.481931203
784.17,0.485811353
784.5,0.484347783
784.82,0.484697451
785.15,0.484112633
785.47,0.483226684
785.8,0.484228311
786.12,0.483462963
786.45,0.486402159
786.77,0.486173624
787.1,0.487235017
787.42,0.487075178
787.74,0.485695211
788.07,0.483994067
788.39,0.485651556
788.72,0.486908152
789.04,0.486007895
789.37,0.48376261
789.69,0.481664477
790.02,0.485035643
790.34,0.488049806
790.66,0.48655991
790.99,0.487358872
791.31,0.492063291
791.64,0.48965272
791.96,0.488899724
792.29,0.489296291
792.61,0.490520708
792.93,0.488106989
793.26,0.49042894
793.58,0.491827316
793.9,0.492076838
794.23,0.487400813
794.55,0.492840354
794.88,0.489314188
795.2,0.489270285
795.52,0.493029128
795.85,0.49230766
796.17,0.48903571
796.49,0.490619014
796.82,0.493930986
797.14,0.492652315
797.46,0.494333267
797.79,0.490417133
798.11,0.49554467
798.43,0.491530405
798.76,0.493560632
799.08,0.496232928
799.4,0.491992139
799.73,0.489060306
800.05,0.49023147
800.37,0.492755613
800.69,0.493987887
801.02,0.493182778
801.34,0.495769435
801.66,0.491882707
801.98,0.494239
802.31,0.493553087
802.63,0.491296629
802.95,0.4941236
803.27,0.492747043
803.6,0.492439388
803.92,0.491470336
804.24,0.494528621
804.56,0.496208405
804.89,0.496728078
805.21,0.494401012
805.53,0.494377339
805.85,0.498093888
806.17,0.498310502
806.5,0.493166381
806.82,0.499442973
807.14,0.497778907
807.46,0.49587947
807.78,0.498094165
808.11,0.498665361
808.43,0.498078243
808.75,0.497705401
809.07,0.497916448
809.39,0.49644599
809.71,0.497930587
810.03,0.498359197
810.36,0.502903701
810.68,0.500901876
811,0.500180722
811.32,0.499789326
811.64,0.50051174
811.96,0.499968982
812.28,0.499932904
812.6,0.503293322
812.93,0.497482945
813.25,0.500839179
813.57,0.497458652
813.89,0.501077342
814.21,0.504382782
814.53,0.501624088
814.85,0.493519589
815.17,0.497816395
815.49,0.498407158
815.81,0.507250724
816.13,0.498910931
816.45,0.496974969
816.77,0.510441568
817.09,0.506329923
817.41,0.501440194
817.73,0.506417254
818.06,0.505514527
818.38,0.509002157
818.7,0.510543217
819.02,0.508007043
819.34,0.50675481
819.66,0.512611473
819.98,0.513386587
820.3,0.510773489
820.62,0.516214938
820.94,0.519310919
821.26,0.516061246
821.57,0.517997814
821.89,0.514872826
822.21,0.513205977
822.53,0.51062101
822.85,0.508201185
823.17,0.512999813
823.49,0.514096503
823.81,0.517361584
824.13,0.514284752
824.45,0.522693542
824.77,0.526874264
825.09,0.523508532
825.41,0.523233683
825.73,0.520659706
826.05,0.521159412
826.36,0.524001834
