spectra (nm),avg. montiporadigitata
738.86,0.702776858
739.19,0.704242613
739.52,0.705516073
739.85,0.708744965
740.18,0.706789406
740.51,0.711849896
740.85,0.711317778
741.18,0.712199758
741.51,0.712762546
741.84,0.714279556
742.17,0.715821253
742.5,0.716323533
742.83,0.71690126
743.16,0.717496014
743.49,0.718438877
743.82,0.719752111
744.16,0.720412957
744.49,0.721693654
744.82,0.723640161
745.15,0.724777116
745.48,0.725254833
745.81,0.724979444
746.14,0.724666719
746.47,0.728975467
746.8,0.727178996
747.13,0.727676092
747.46,0.726319795
747.79,0.730199285
748.12,0.7325325
748.45,0.730463652
748.78,0.732799746
749.11,0.732537849
749.44,0.73003754
749.77,0.731850901
750.1,0.733357274
750.43,0.733630912
750.76,0.734932814
751.09,0.733451085
751.42,0.734975959
751.75,0.736514025
752.08,0.740380846
752.41,0.737515396
752.74,0.739959567
753.07,0.739680347
753.4,0.74097583
753.73,0.739960296
754.06,0.739679281
754.39,0.741812532
754.72,0.74106261
755.05,0.742001048
755.38,0.740319379
755.71,0.737934398
756.03,0.743959571
756.36,0.742814424
756.69,0.743792897
757.02,0.741428867
757.35,0.741447294
757.68,0.742962462
758.01,0.745135597
758.34,0.744968057
758.67,0.745612898
758.99,0.745718857
759.32,0.746854106
759.65,0.749502645
759.98,0.758023246
760.31,0.756873293
760.64,0.755671998
760.97,0.75608995
761.29,0.75502079
761.62,0.749399927
761.95,0.745362116
762.28,0.747749395
762.61,0.746393679
762.94,0.749605406
763.26,0.740630392
763.59,0.749329014
763.92,0.745751798
764.25,0.744107485
764.58,0.751314766
764.9,0.743543035
765.23,0.745272256
765.56,0.74457723
765.89,0.751291678
766.22,0.750278433
766.54,0.747533835
766.87,0.744928895
767.2,0.749401751
767.53,0.748859274
767.85,0.750918529
768.18,0.750027586
768.51,0.748104606
768.84,0.752139933
769.16,0.749316599
769.49,0.75342305
769.82,0.755413871
770.15,0.75309397
770.47,0.752377618
770.8,0.757767473
771.13,0.754619656
771.45,0.755001907
771.78,0.756918773
772.11,0.752110986
772.43,0.754740953
772.76,0.75510987
773.09,0.754371087
773.41,0.754468022
773.74,0.755548127
774.07,0.752872352
774.39,0.753296445
774.72,0.755823167
775.05,0.757754868
775.37,0.755504014
775.7,0.7543189
776.03,0.752571059
776.35,0.757468797
776.68,0.755779498
777.01,0.757556968
777.33,0.754916169
777.66,0.754382803
777.98,0.758660427
778.31,0.755371751
778.64,0.75791813
778.96,0.755044596
779.29,0.7556297
779.61,0.755664026
779.94,0.755002828
780.27,0.757739902
780.59,0.757777658
780.92,0.754611088
781.24,0.757674352
781.57,0.754002366
781.89,0.758694394
782.22,0.757907107
782.54,0.756267365
782.87,0.758754872
783.19,0.75668688
783.52,0.752961464
783.85,0.755925506
784.17,0.753988437
784.5,0.756319506
784.82,0.754561101
785.15,0.758862278
785.47,0.7559598
785.8,0.75853327
786.12,0.755256691
786.45,0.753484499
786.77,0.755854312
787.1,0.758423962
787.42,0.753068188
787.74,0.754767972
788.07,0.75548372
788.39,0.752786513
788.72,0.7559283
789.04,0.755242714
789.37,0.747886117
789.69,0.752961102
790.02,0.75527037
790.34,0.755439647
790.66,0.754913657
790.99,0.756150052
791.31,0.749941624
791.64,0.752392205
791.96,0.754752494
792.29,0.756786594
792.61,0.748569603
792.93,0.751145341
793.26,0.751720522
793.58,0.755961429
793.9,0.750246215
794.23,0.751773643
794.55,0.745604708
794.88,0.75092884
795.2,0.751475717
795.52,0.750919089
795.85,0.750834156
796.17,0.751738363
796.49,0.749387168
796.82,0.750883816
797.14,0.748806181
797.46,0.751115181
797.79,0.754256746
798.11,0.747471159
798.43,0.745447012
798.76,0.742815967
799.08,0.748728645
799.4,0.746100691
799.73,0.744991647
800.05,0.743415131
800.37,0.746321646
800.69,0.744735702
801.02,0.742414367
801.34,0.744102306
801.66,0.741701452
801.98,0.743166407
802.31,0.743764478
802.63,0.742310682
802.95,0.744171666
803.27,0.741555095
803.6,0.745830401
803.92,0.746071641
804.24,0.741531845
804.56,0.744847559
804.89,0.74022923
805.21,0.743787906
805.53,0.744123981
805.85,0.74635175
806.17,0.745180806
806.5,0.745016589
806.82,0.745714523
807.14,0.743641028
807.46,0.747998709
807.78,0.745340468
808.11,0.74420138
808.43,0.740871129
808.75,0.746811148
809.07,0.742532965
809.39,0.745532356
809.71,0.745689429
810.03,0.744039089
810.36,0.741296669
810.68,0.740192007
811,0.740220618
811.32,0.743780221
811.64,0.741085315
811.96,0.748870986
812.28,0.742867912
812.6,0.743638386
812.93,0.740749433
813.25,0.739812254
813.57,0.741227293
813.89,0.743081262
814.21,0.738040885
814.53,0.736174313
814.85,0.741172599
815.17,0.740771476
815.49,0.738195353
815.81,0.740073849
816.13,0.737240095
816.45,0.735910531
816.77,0.738020863
817.09,0.738716154
