seagrass,ref
747.79,0.335985598
748.12,0.337764016
748.45,0.338385734
748.78,0.338930518
749.11,0.339514857
749.44,0.34149578
749.77,0.34273485
750.1,0.342357657
750.43,0.343406664
750.76,0.346072234
751.09,0.345539023
751.42,0.345698137
751.75,0.347445805
752.08,0.347644515
752.41,0.349614852
752.74,0.349138384
753.07,0.350879375
753.4,0.352489033
753.73,0.351401199
754.06,0.353193024
754.39,0.353346642
754.72,0.354571401
755.05,0.35465383
755.38,0.354670466
755.71,0.355922721
756.03,0.357452448
756.36,0.355609023
756.69,0.358653377
757.02,0.358125595
757.35,0.359542477
757.68,0.361511324
758.01,0.360964183
758.34,0.361188412
758.67,0.363998012
758.99,0.36462379
759.32,0.366628572
759.65,0.370985125
759.98,0.370774243
760.31,0.369876101
760.64,0.374251122
760.97,0.371509805
761.29,0.37064743
761.62,0.370566663
761.95,0.372888853
762.28,0.374439313
762.61,0.373748727
762.94,0.372995459
763.26,0.373446177
763.59,0.37357375
763.92,0.375380354
764.25,0.374307246
764.58,0.374184178
764.9,0.3766544
765.23,0.376539344
765.56,0.377591854
765.89,0.376894787
766.22,0.377599357
766.54,0.378734672
766.87,0.379315411
767.2,0.378810124
767.53,0.379003542
767.85,0.378357405
768.18,0.37933842
768.51,0.38114343
768.84,0.380608014
769.16,0.381917959
769.49,0.381077246
769.82,0.382661219
770.15,0.382566403
770.47,0.381857232
770.8,0.385923531
771.13,0.385184318
771.45,0.386405754
771.78,0.386601972
772.11,0.38689784
772.43,0.386090234
772.76,0.389012765
773.09,0.386469648
773.41,0.388621866
773.74,0.389153363
774.07,0.389876297
774.39,0.391067289
774.72,0.391190209
775.05,0.39108654
775.37,0.392508866
775.7,0.392363246
776.03,0.392891747
776.35,0.395816765
776.68,0.394747095
777.01,0.397099543
777.33,0.392978924
777.66,0.397243736
777.98,0.396331343
778.31,0.397299239
778.64,0.396354995
778.96,0.396571299
779.29,0.397978087
779.61,0.398943795
779.94,0.397676576
780.27,0.399360657
780.59,0.399726169
780.92,0.399599499
781.24,0.400286868
781.57,0.40263622
781.89,0.40264001
782.22,0.402103683
782.54,0.402210826
782.87,0.403083917
783.19,0.40296739
783.52,0.405217007
783.85,0.40633085
784.17,0.403974813
784.5,0.406090581
784.82,0.40566367
785.15,0.40703799
785.47,0.406672852
785.8,0.407803844
786.12,0.408016627
786.45,0.406772768
786.77,0.408446322
787.1,0.409918731
787.42,0.411046153
787.74,0.409038298
788.07,0.410360398
788.39,0.411278352
788.72,0.410578133
789.04,0.410436049
789.37,0.411821184
789.69,0.412891268
790.02,0.413849894
790.34,0.410631832
790.66,0.411667714
790.99,0.411966148
791.31,0.414772387
791.64,0.412688153
791.96,0.413801857
792.29,0.416260577
792.61,0.415215751
792.93,0.418464791
793.26,0.41746023
793.58,0.416088188
793.9,0.414831373
794.23,0.41758911
794.55,0.416460932
794.88,0.415353066
795.2,0.415697131
795.52,0.416218489
795.85,0.4178925
796.17,0.421070976
796.49,0.417958658
796.82,0.419312297
797.14,0.420784321
797.46,0.417891195
797.79,0.419274036
798.11,0.419154925
798.43,0.418501713
798.76,0.419717163
799.08,0.421185369
799.4,0.418965959
799.73,0.419607188
800.05,0.422170748
800.37,0.420777335
800.69,0.419498198
801.02,0.421287547
801.34,0.420295552
801.66,0.418869236
801.98,0.422593352
802.31,0.420133365
802.63,0.418271008
802.95,0.419783978
803.27,0.419650024
803.6,0.419803234
803.92,0.420799523
804.24,0.41994915
804.56,0.42230769
804.89,0.418799644
805.21,0.420565917
805.53,0.422180013
805.85,0.423097674
806.17,0.42118553
806.5,0.424540698
806.82,0.425763925
807.14,0.423918732
807.46,0.426714496
807.78,0.426418102
808.11,0.427146125
808.43,0.426603209
808.75,0.427172104
809.07,0.428331491
809.39,0.429062762
809.71,0.427139725
810.03,0.428370786
810.36,0.431410096
810.68,0.429233696
811,0.431502327
811.32,0.429899849
811.64,0.429145933
811.96,0.431367542
812.28,0.431564286
812.6,0.433846423
812.93,0.43471791
813.25,0.433772277
813.57,0.43416804
813.89,0.435710631
814.21,0.436469029
814.53,0.436603098
814.85,0.434656279
815.17,0.439771197
815.49,0.435209149
815.81,0.434866569
816.13,0.438077912
816.45,0.4395619
816.77,0.441156626
817.09,0.4435363
817.41,0.443254087
817.73,0.441626789
818.06,0.446846367
818.38,0.445621933
818.7,0.447315395
819.02,0.444497387
819.34,0.444863415
819.66,0.448205889
819.98,0.450928744
820.3,0.452821178
820.62,0.45086028
820.94,0.453405119
821.26,0.451184065
821.57,0.4536252
821.89,0.455294307
822.21,0.454646476
822.53,0.456140997
822.85,0.453077954
823.17,0.451077962
823.49,0.456218277
823.81,0.456183787
824.13,0.459025326
824.45,0.458528076
824.77,0.462171068
825.09,0.460444567
825.41,0.464811392
825.73,0.464216843
826.05,0.462311295
826.36,0.462846242
