muricata,reflection
760.97,0.526077555
761.29,0.521067492
761.62,0.521558015
761.95,0.520042483
762.28,0.511411308
762.61,0.57008659
762.94,0.526436341
763.26,0.549273837
763.59,0.575497756
763.92,0.523128911
764.25,0.534250976
764.58,0.561392216
764.9,0.55374383
765.23,0.559624989
765.56,0.546924947
765.89,0.540849687
766.22,0.530664379
766.54,0.52347046
766.87,0.538534195
767.2,0.550092515
767.53,0.544845952
767.85,0.524326094
768.18,0.523709263
768.51,0.531912834
768.84,0.548281095
769.16,0.527825534
769.49,0.574206319
769.82,0.549902011
770.15,0.534404406
770.47,0.545810967
770.8,0.558386395
771.13,0.552308887
771.45,0.545313362
771.78,0.541705222
772.11,0.542443082
772.43,0.556513979
772.76,0.56459243
773.09,0.544266054
773.41,0.528274664
773.74,0.557613031
774.07,0.558924438
774.39,0.556643473
774.72,0.549942598
775.05,0.541038622
775.37,0.537238004
775.7,0.565728837
776.03,0.555545098
776.35,0.582627457
776.68,0.541803759
777.01,0.550904859
777.33,0.581984267
777.66,0.533882378
777.98,0.552171872
778.31,0.561041853
778.64,0.542111545
778.96,0.556989632
779.29,0.558994863
779.61,0.543102273
779.94,0.555950907
780.27,0.541658646
780.59,0.553139208
780.92,0.563591231
781.24,0.548400839
781.57,0.576142793
781.89,0.570408543
782.22,0.54131143
782.54,0.565184536
782.87,0.561746703
783.19,0.588190685
783.52,0.567248377
783.85,0.538586241
784.17,0.541809169
784.5,0.557560684
784.82,0.566651939
785.15,0.543825874
785.47,0.546041261
785.8,0.533259502
786.12,0.557125551
786.45,0.583494753
786.77,0.558520645
787.1,0.545499355
787.42,0.557371578
787.74,0.561242327
788.07,0.531159413
788.39,0.563949491
788.72,0.557565055
789.04,0.570629067
789.37,0.540357744
789.69,0.55329389
790.02,0.533138537
790.34,0.5632154
790.66,0.561803699
790.99,0.569760561
791.31,0.53077355
791.64,0.572330233
791.96,0.572464217
792.29,0.539480181
792.61,0.560779992
792.93,0.557063325
793.26,0.562096007
793.58,0.557881997
793.9,0.542748216
794.23,0.563127066
794.55,0.546948385
794.88,0.561409104
795.2,0.551393708
795.52,0.561217773
795.85,0.542266696
796.17,0.559632229
796.49,0.551278138
796.82,0.549285356
797.14,0.541971558
797.46,0.570100743
797.79,0.53215665
798.11,0.575656591
798.43,0.537026204
798.76,0.543657491
799.08,0.541563971
799.4,0.537292223
799.73,0.520265486
800.05,0.541617653
800.37,0.566602125
800.69,0.541878468
801.02,0.561898645
801.34,0.549032281
801.66,0.540631081
801.98,0.538879084
802.31,0.562832588
802.63,0.52843609
802.95,0.586861018
803.27,0.544176418
803.6,0.54709266
803.92,0.557589279
804.24,0.540384684
804.56,0.545993275
804.89,0.577550922
805.21,0.525587856
805.53,0.550461561
805.85,0.561670411
806.17,0.542543358
806.5,0.558875024
806.82,0.541258077
807.14,0.557888917
807.46,0.564714434
807.78,0.566335451
808.11,0.53832358
808.43,0.527794023
808.75,0.557571624
809.07,0.552210789
809.39,0.573259345
809.71,0.571222574
810.03,0.558909242
810.36,0.553233786
810.68,0.55352591
811,0.551196313
811.32,0.541961314
811.64,0.542477274
811.96,0.580126486
812.28,0.53796195
812.6,0.51926857
812.93,0.531410342
813.25,0.53534614
813.57,0.486331428
813.89,0.517314091
814.21,0.547853395
814.53,0.569365429
814.85,0.559726451
815.17,0.519826386
815.49,0.558758697
815.81,0.546511245
816.13,0.540504887
816.45,0.569375223
816.77,0.571541865
817.09,0.547183881
817.41,0.57887802
817.73,0.540929501
818.06,0.585991546
818.38,0.575200355
818.7,0.5878992
819.02,0.57109914
819.34,0.554958804
819.66,0.536528354
819.98,0.536630239
820.3,0.549253195
820.62,0.554743359
820.94,0.56638
821.26,0.56654425
821.57,0.574213803
821.89,0.576049589
822.21,0.5444738
822.53,0.610298915
822.85,0.54813475
823.17,0.605051083
823.49,0.54971248
823.81,0.570747401
824.13,0.512833742
824.45,0.577741484
824.77,0.531185031
